date,predicted_energy
2026-03-30,677789.8
2026-03-31,704479.94
2026-04-01,728927.8
2026-04-02,753986.06
2026-04-03,763020.94
2026-04-04,755744.2
2026-04-05,751073.25
2026-04-06,820301.44
2026-04-07,812753.8
2026-04-08,814710.8
2026-04-09,807824.44
2026-04-10,802240.94
2026-04-11,748210.25
2026-04-12,755064.3
2026-04-13,845051.06
2026-04-14,858684.44
2026-04-15,846412.3
2026-04-16,836904.7
2026-04-17,816266.9
2026-04-18,735824.0
2026-04-19,733416.1
2026-04-20,820399.4
2026-04-21,818583.4
2026-04-22,795571.25
2026-04-23,791366.2
2026-04-24,786409.3
2026-04-25,732317.7
2026-04-26,744038.8
2026-04-27,807112.7
2026-04-28,790002.0
2026-04-29,781121.3
2026-04-30,767919.6
